epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,11963.4,1.36914,0.86544,0.00161,0.61816,0.54746,0.56823,0.38359,1.24697,0.91355,0.00237,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,12328.2,1.377,0.87016,0.00161,0.63732,0.54869,0.5704,0.38577,1.24775,0.91702,0.00233,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,12694,1.35788,0.84847,0.00162,0.65022,0.54197,0.57666,0.38867,1.24968,0.91726,0.00235,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,13061.6,1.36156,0.86127,0.00159,0.64197,0.53528,0.57201,0.38358,1.25626,0.91966,0.00238,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,13428.1,1.35588,0.84717,0.00159,0.64646,0.54654,0.57245,0.39128,1.24001,0.91313,0.00233,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,13798.2,1.37974,0.8603,0.00157,0.64323,0.5479,0.572,0.38645,1.24921,0.91838,0.00234,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,14168,1.35714,0.84528,0.00157,0.62341,0.55119,0.56897,0.38356,1.25463,0.92129,0.00237,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,14538.7,1.35109,0.83827,0.00157,0.63211,0.5661,0.57737,0.39087,1.24921,0.91598,0.00236,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,14911.7,1.3638,0.83242,0.00157,0.63427,0.55279,0.57182,0.3892,1.23952,0.9148,0.00233,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,15286.3,1.34453,0.8135,0.00154,0.64164,0.54619,0.56485,0.3816,1.25371,0.92423,0.00236,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,15658.6,1.32896,0.80678,0.00154,0.63885,0.55941,0.57077,0.3858,1.25452,0.91955,0.00236,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,16030.3,1.34137,0.81685,0.00154,0.6383,0.55383,0.57477,0.38867,1.24924,0.91322,0.00235,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
