epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,8927.04,1.51699,1.07949,0.00185,0.60523,0.48807,0.50926,0.33535,1.33482,1.05319,0.00257,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,9199.61,1.53007,1.08531,0.00186,0.59935,0.49082,0.50925,0.33558,1.3465,1.0375,0.00259,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,9473.22,1.50965,1.06349,0.00186,0.59421,0.4931,0.50809,0.33655,1.33064,1.03999,0.00255,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,9749.5,1.5155,1.06929,0.00184,0.60336,0.4903,0.51393,0.33617,1.33583,1.02862,0.00254,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,10026.6,1.50637,1.05873,0.00184,0.59206,0.48962,0.50869,0.33224,1.33616,1.0449,0.00255,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,10300.8,1.53375,1.08169,0.00181,0.60681,0.48796,0.50852,0.33686,1.33297,1.04147,0.00256,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,10575.9,1.51051,1.06191,0.00181,0.6011,0.50296,0.52002,0.34226,1.33694,1.03428,0.00256,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,10852,1.50024,1.05351,0.00181,0.62554,0.48671,0.51769,0.34445,1.32874,1.02196,0.00253,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,11128.4,1.51856,1.05065,0.00181,0.59987,0.49404,0.51113,0.33941,1.3158,1.03858,0.0025,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,11404.1,1.50018,1.03655,0.00178,0.61699,0.49832,0.51764,0.34214,1.33061,1.04219,0.00255,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,11680.5,1.48577,1.02191,0.00179,0.61014,0.49451,0.51669,0.34171,1.33372,1.03134,0.00255,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,11957.7,1.49866,1.03452,0.00179,0.60716,0.49388,0.51849,0.34335,1.32175,1.02757,0.0025,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,12235.7,1.48713,1.02566,0.00178,0.61309,0.49827,0.51948,0.34646,1.31121,1.01444,0.00248,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,12514.6,1.49519,1.03336,0.0018,0.61061,0.49787,0.5209,0.34605,1.31604,1.01,0.0025,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,12792.7,1.4916,1.02515,0.00178,0.60167,0.50289,0.52493,0.34786,1.31911,1.00436,0.00252,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
